author,clean_comment,likes,publishedAt
@rachmadafini,hrshya gaji dpr x lipat dr umr ga boleh lebih juta msh kebanyakan atuh,0,2025-09-08T11:43:50Z
@satualiali170,pret,0,2025-09-08T11:43:38Z
@rachmadafini,banyak banget tunjangannya,0,2025-09-08T11:41:28Z
@ayangboyang3050,gajih harus umr hapuskan juga pensiun nan seumur hidup bikin jadi beban negara tuh pensiunan seumur hidup tuh,0,2025-09-08T11:33:22Z
@Aulya4171,aku lebih suka kalau dpr di tiadakan sampai kapanpun tk kan ada manfaatnya buat masyarakat hanya jadi beban negara dan rakyat di gaji segitu gde nya mana ada prestasi atau sesuatu yg membuat masyarakat bahagia nihil,0,2025-09-08T11:31:28Z
@hendriktangrapa,juta itu masih menguras uang negara karena dpr tidak pantas wakili rakyat jangan hanya dpr mentri pejabat bumn hakim dan pejabat lembaga tinggi negara harus diturunkan gajix maximal juta saja sudah cukup dan berlebihan,0,2025-09-08T11:19:20Z
@wiwieksaksiwi5520,masih besar itutunjangan komunikasi juta mau ngoceh apaan itu sama masyarakat tunjangan kehirmatan dan tunjangan lain gak perlu ada semua masyarakat juga terhormat belum lg uang reses uang rapat uang konsulidasi dllperlu dipangkas jugake depan gaji dpr maksimal kali umr tdk perlu ada uang reses ung kinjungan dapil dllera digital bs dgn on linesemua kekuhan masyarakat bs dilakukan dg online dan serap aspirasi melalui pemereintah daerah setempatdg demikian yg akan jd anggota dpr benar orang yg mau kerja tanpa pamrih bukan memburu harta jarusn dg mengatas namakan wakil rakyat bubarin dpr kl memang otaknya hanya mau memoerkaya diri sendiri,0,2025-09-08T11:09:59Z
@suryajibriel7660,masih gede segitu mh potong lg lh mnding buat rakyat n guru guru yg gaji nya minim bngt di luar nurul,0,2025-09-08T10:54:08Z
@macanputih1251,dpr gaji umr saja,0,2025-09-08T10:53:26Z
@mohammadal-falah2642,masih termasuk gak adil tuhgaji kita di indonesia ajah gak gede banget jt ajah gak lohitu masih jt ke atas enak banget hidupnya cuman duduk duduk di kursi empukmakannya enak enak pilih pilihlihat rakyatnya dong,0,2025-09-08T10:39:49Z
@Kiki-C1ntya,itu gajinya masih bnyk di banding rakyatnya,0,2025-09-08T10:32:37Z
@rahmatullahoff1555,tunjngan konstitusional untuk pengawasan penganggaran jga trlalu besar krna tdk di lakukan setiap bulan blm lgi ada perjalanan dinas kunker kunspek kundapil yg nilainya jga fantastis sbnernya klw mau d jabarkan gaji dpr d sesuaikan dengan dapil krena dapil timur kos pejalanan lbh tinggi dari pd di jawa jd ga layak jga dpet gaji pensiunan ngpain stelah slsai menjabat sudah ga ada kerja lagi,0,2025-09-08T10:22:27Z
@muhadir.zulkarnain,jalur memperkaya diri,0,2025-09-08T10:02:07Z
@muhadir.zulkarnain,jadi wakil kok seenaknya buat tunjangan dan peraturan g logisss,0,2025-09-08T10:01:09Z
@Tamrization,lebih percaya krisdayanti,0,2025-09-08T09:52:11Z
@AdiabdaraDara,hapus tunjangan pensiunan,0,2025-09-08T09:39:04Z
@Aischacha_15,ya allaahitumah masih terlalu besarsy rakyat di desa hidup susah dan harus bayar pajak pula yang terus melejit bensin mahal sembako mahal nyekek keneh nyari kerja susah trus kenapa juga ada gaji pensiunan,0,2025-09-08T09:20:37Z
@vastolorde-ekobd2889,jutabulan masih besar njir kami yg pegawai biasa daerah hanya jutabulan pangkasan apa itu oya gaji itu belum kena pajak ya rip my country,0,2025-09-08T09:16:10Z
@maulidainayati,selisihnya jauh banget yaa sama gaji aparat pns coba dikaji ulang dengan tunjangan yang tidak manfaati,0,2025-09-08T09:13:26Z
@wachidn.rachmad1776,sama aja,0,2025-09-08T08:58:37Z
@RonggoWasito,kerja gak gaji jta liburan sampai ke luar negri dikit tunjangan berak pun kluar tunjanganya parahhh,0,2025-09-08T08:47:28Z
@rafaponsel9224,biaya komunikasi intensif dgn masayarakat jt per bulan komunikasi yg mna,0,2025-09-08T08:36:37Z
@GloryPoncel-g3r,untuk pensiunyagx perlu ada lagi justru guru gurulah yg wajib di beri pensunan,0,2025-09-08T08:14:04Z
@EdoTurusina,kami pun setuju dengan hasil keputusan,0,2025-09-08T08:13:04Z
@ShoniaChalista,menurut saya bubarkan dpr,0,2025-09-08T08:04:49Z
@ShoniaChalista,masih memberatkan rakyat kecil rakyat yg di kerajaannya jdi buruh bangunan hanya dpt jt itupun kalau kerjaannya bulan belum bayar kos anak sekolah tranportasi kita sebagai rakyat kecil slalu jd sasaran pejabat yg slalu mementingkan diri sendiri,0,2025-09-08T08:03:08Z
@biannano6539,tampilkan juga gaji dpr propinsi dpr kab dan gaji petinggi bumn hapuskan pensiun seumur hidup dana pensiun seperti karyawan swasta kali gaji pokok dibayar sekali selesai,0,2025-09-08T08:02:28Z
@Citra-n1h,apa kabar dana aspirasi dsb apakah dipangkas juga,0,2025-09-08T07:56:39Z
@anduncellofficial5866,tidk guna juga meski di pangkas pasti ad cara lain yg akn di lkukn jugaklo tuhan saja tidk lgi di takutkn apalgi kita yg hnya rskyt kcilbaiknya kita tuntuk apa yg akn bisa mmbuwat kita lebih baik dri sebulmnya itu lbih mntepsperti turukn hrga sembsko dn alat yg lain yg bisa mmbebankn rakyat bawahdn klo bisa kurangkn pajak msa rakat,0,2025-09-08T07:38:31Z
@christmasmorning513,hadeh pak lo gak dapat tunjangan tp lo plesiran ke ln jt sekali jalan dalam setahun kali sdh itu uang dapil jt dalam setahun kali total kalian terima gaji m setiap bulan bodohi rakyat pula nih,0,2025-09-08T07:33:38Z
@BeniHaryanto-p2h,tunjangan adalah korupsi yg terselebung kenapa gk di bikin satu gaji maks x umr,0,2025-09-08T07:05:08Z
@jannahfamily5436,jgn lupa gaji guru honorer di naikin umk dan umrkasihan rakyat gaji hanya segitusementara gaji dpr masih puluhan jutakalau bisa umrumkdan honorer ada tuh tunjanganjgn mau enak udel kalian aja di tunjang,0,2025-09-08T07:04:23Z
@jujujuariah-h1c4x,masih loba keneh,0,2025-09-08T06:52:09Z
@keylagacha1234,masih terlalu besar cukup umr alihkan atau tambahkan gaji tni yg bekerja menjaga di perbatasan laut udara darat karena resiko mereka besar menjaga kedaulatan nkri begitu juga gaji guru damkar petugas kebersihan buat juga peraturan suami istri tidak boleh sama jadi anggota dpr harus salah satu saja seperti halnya ahmad dani dan mulan jameela ngapain pula suami istri sama cari nafkah disitu gada efek juga buat negara,0,2025-09-08T06:51:20Z
@Natsudragneel2559,bujet komukasi ama masyarakat aja jt emang masyarakat mana yg mau di temui apa masyarakat kutub utara dan apa masyarakat nya di bagi bagiin jt per orang sebagai perwakilan atau hanya untuk dprnya saja atau bgmn gw udah search buset ternyata jt hanya untuk memotivasi bjir dan pertemuan dgn masyarakat itupun di wilayahl kerjanyayang dimana dia gak butuh efort tempat gw aja tengah indonesia yang bisa di bilang biaya hidup agak mahal dikit ama jawa pertemuan aja paling makanan buat perkecamatan itu paling jt untuk tenda makan jt dan di bagi bagi jt lagi itu pun klw banyak ya paling jtan karna masyarakat paling dpt nasi kotakk ama air sedus dan klw masyarakatnya sedikit biasa dapat amplop k perorang yang mana paling banyak orang jt dan klw lebih ya paling jt nah biaya tenda speaker biasanya di gotongroyong dan minjam dari masyarakat sekitar ya gw rasa jt itu buat acara gede kah klw jt harusnya ada dekorasi ada pelaminan jadi dprnya nikah nih ama micnya kan enak jelas klw uang kunjungan kerjanya jelas ya paling biaya bensin solar atau pertalite mobilnya paling jt pp kan wilayah dia sendiri jd kirakira di kantongnya pa gak ketat tu di isi jt bjir berarti dia jd wakil rakyat karna di bayar gitu apa itu wakil rakyat apakah itu perwakilan kita cerminan dari kita ya pastinya sangat mencerminkan,0,2025-09-08T06:26:18Z
@yantiferdiwati6502,undang undang perampasan aset koruptor mana pak,0,2025-09-08T06:13:17Z
@angelangelicavanessalim5447,waduh kacau negriku,0,2025-09-08T06:10:32Z
@AndrianisYovita-w8p,maaf kata kalau guru kok gak segitu ya mereka bisa jadi dpr kan dari didikan guru juga guru mau naik gaji saja ribetnya minta ampun apakah ada lowongan bapak ibu untuk bisa jadi dpr biar kesenjangan hidup bisa terjamin keamanannya juga terjamin kesehatan juga,0,2025-09-08T05:56:19Z
@zdanerf7201,apaan masih bnyk gajinya itumah masih ada kata juta juta brpa klai tuhh,1,2025-09-08T05:55:48Z
@ArnisPilko,turun kestandar noma walau masih terkesan tinggi jika dibanding dengan gaji tunjangan pnsasn guru tunjangannya dibayarkan x bln bayangkan itu tapi karena tugas untuk anak bangsa tetap dijalaninya,0,2025-09-08T05:55:18Z
@KingFarmBwi,tunjangan lain kasih liat dong tunjangan rapat rutin tiada guna kasih liat dong hmm,0,2025-09-08T05:52:26Z
@Domba_bukan123-q1w,dana kunjungan dan aspirasi juga dipotong,0,2025-09-08T05:48:17Z
@puputtiara4963,yg ga perlu itu tunjangan pasangan dan tunjangan anakrakyat aja di cukup cukupin dari gaji pokok kenapa dpr minta tunjangan untuk pasangan dan anak tidak tau malu mau hidup tapi tidak mau kerja lebih,0,2025-09-08T05:13:24Z
@kiselshop4998,masih besar lah jutaan,0,2025-09-08T05:11:38Z
@11_djon,pertama ada biaya komunikasi intensif dengan masyarakat sebesar rp apakah ini dilaksanakan semua anggota dpr belum tentu harusnya berlaku jika dilaksanakan disertakann bukti photovideo tunjangan kehormatan rp ini sepertinya tidak perlumubajir tunjangan fungsi pengawasan dan anggaran sebesar rp buktikan pengawasan berdasarkan bukti,0,2025-09-08T05:11:33Z
@ariza3531,jk tunjangan konstitusional dihapus apa masalahnya jk mrk gak mau gak usah jd anggota dewan krn tunjangan konstitusional sebyk itu bs digunakan tuk kepentingan rakyat yg lbh mendesak,0,2025-09-08T05:07:39Z
@Purwono-v9r,ttep aja gaji masih membengkak kbijakan sama aja msih memihak dpr pejabat sdang rakyat gaji d pabrik cma jt bln kpn negara ini adil,1,2025-09-08T04:56:41Z
@Nafiah-g5j7m,aku merasa kok masih kebanyakan ya gak tau kalau pendapat kalian,0,2025-09-08T04:46:38Z
@Nafiah-g5j7m,masih kebanyakan itu gajinya pekerjaan nya duduk sambil tiduran di gaji segitu kebanyakan masih banyak tunjangan nya,0,2025-09-08T04:43:59Z
@AndriIsnawan-w7j,tunjangan tunjangan anjing apa,0,2025-09-08T04:40:57Z
@habibkalipaksi,segitu nya kecil bgt cuyy belum duit tandatangan di belakang layarnya belm ketahuan,0,2025-09-08T04:33:21Z
@Yanto-r4q,pemilu gak usah ada yg coblos dpr,0,2025-09-08T04:32:25Z
@محمدنبينا-ذ4و,gajinya juta aja cukup juta buat driver ojek online sama menggratiskan biaya tk bagi keluarga miskin,1,2025-09-08T04:26:55Z
@hinda125,bagaimana jika take home pay dpr juta,0,2025-09-08T04:22:19Z
@abdulgofur5455,wkwkwkwwkwk mana mungkin semuanya include juta tunjangannya coba di rinci apa aja modal nya buat nyalonin m paling sedikit di bagi th masih kurang kalau juta masa relabalik modal,0,2025-09-08T04:01:37Z
@abimanarahman4167,gaji buruh minta naik masih di rapatkan naiknya paling sedangkan yang buat uud gajinya dan tunjangannya sampek juta perbulan tambah miskin rakyatnya,0,2025-09-08T03:53:09Z
@DewaElzian,mendi g di hapus kan aja dpr gk guna,0,2025-09-08T03:52:48Z
@FonyMarsini,kebanyakan tunjangan saya masih tdk iklhas kla suruh bayar pajak buat gaji anggota dpr,0,2025-09-08T03:44:36Z
@KuiOpo-b6l,bubarkan dpr selama uu perampasan aset belum disahh kan,0,2025-09-08T03:41:45Z
@hartonosugik7932,juta yang benar aja dasar rakussss,0,2025-09-08T03:38:34Z
@ekawati6284,klo di pangkas tuhartinya di kurangin yahhhhlhaaaini malah di tambahbanyak lagi nambah nyaartinya sama aja boongseharus nya bikin kolom nya jangan setelah dipangkasharusnya kolom gaji lama sm kolom gaji barutp sm ajaapa gue yang oon yahhhtp gak jugagua org accounting kok,0,2025-09-08T03:27:00Z
@andrieyassir9070,media terlalu oportunis untuk hal hal yang bukan esensi mahasiswa terlalu bodoh kalau berfikir tentang gaji dan tunjangan yang esensi adalah pemberantasan korupsi gaji kecil atau besar esensinya jangan korupsi gaji tunjangan kecil bisa jadi dalih adanya korupsi besarnya gaji atau tunjangan sesuai dengan kinerja dan output undang undang nya,0,2025-09-08T03:15:25Z
@adjiewicaksono335,masih ada tunjangan mobil dinas tunjangan kehormatan yg bisa dihilangkan,0,2025-09-08T03:13:56Z
@evaandriana2318,tunjangan tunjangan isinya ngeri kaliiii,1,2025-09-08T03:11:07Z
@SuryaDewi-i2w,masih tinggi gajinyahrs di turunkan,0,2025-09-08T03:06:32Z
@YakoKobus,perlu itu guru yang gajinya naik kalau masih ada honorer yang gajinya naik minimal jadi juta lahbuat apa gaji dpr banyak begitu tapi hasil kerjanya nol sudah negara banyak utang terus nanggung tunjangan para dpr yang gak guna buat uu suka tidak tanya dulu dengan rakyattidak ada musyawarahnya kepada rakyat langsung buat uu untuk perlindungan jabatannya hancur negara ini kalau masih sistem dpr nya begini makan gaji buta,0,2025-09-08T03:04:32Z
@YakoKobus,tunjangan jabatan kok ada ya anak dan istri tidak usah masuk tunjangan karena anak dan istri dpr itu bukan tanggungan negara tetapi tanggungan suaminya kebanyakan tunjukan tetapi kerjanya minim banyak tunjangan yang gak perlu harus dihapus seperti tunjangan jabatan tunjangan istri dan anaktunjangan komunikasi yang sampai juta komunikasi apa sampai juta tunjangan lainnya juga harus di efisiensi lagi lah masa kebanyakan tunjangan terlalu manja mereka itu pelayanam rakyat bukan raja atas rakyat rakyat saja gak ada tunjangan lah kok wakilnya kebanyakan tunjangan gak sehat bener itu mah bukan wakil kalau banyak tunjangan tetapi raja pake logika sehatlah manteri keuangan dan presiden mereka itu wakil rakyat bukan atasan rakyat tidak usah pakai tunjangan sebanyak itu toh mereka cuma dia di kantor gak kemana lihat rakyat banyak kesulitan pake logika dan perasaan kalian rakyat ini bukan babu negara yang kalian atur dan perintah seenak jidat dengan uu yang tidak penting kalau tidak mau beban negara kurang ya hapus semua tunjangan itu terlalu banyak tunjangan kerja untuk rakyat kagak malah rakyat diperas habis kalian pejabat pemerintahan ini apakah masih ada hati nurani,0,2025-09-08T03:00:58Z
@fpndotcom,coba aja rakyat nya di kasih per kk dapat uang intensif juta aja seumur hidup lumayan buat hidup,0,2025-09-08T02:57:20Z
@Suriansyah-ny8mx,kita akan ikuti terus berita terbaru dpruntuk mengetahui dan memastikan perubahan untuk kebaikan bersama yang sesuai dengan aspirasi rakyat indonesia,0,2025-09-08T02:54:04Z
@harikamis8451,kalau diam diam naik di demo lagi bubarin aja,0,2025-09-08T02:43:29Z
@ryuuhn,pantesan pada rebutan kursi pingin jadi anggota dpr gajinya pantastis duduk manis gajinya luar biasa,0,2025-09-08T02:19:30Z
@togarsiagian-n2e,itu msh terlalu tinggilihat negara lain kisaran jt an bln gaji anggota dewan krn mrk lbh mementingkan rakyat ketimbang perutnya,0,2025-09-08T02:03:38Z
@prayogiperwiro2914,th dpt pensiun harusnya d hapus juga,0,2025-09-08T02:01:26Z
@budionowulansari3035,hapus pesiuan dpr dprd nggak ada pesiun sama adil,0,2025-09-08T01:55:34Z
@AlyaManiez,emanga ada komunikasi dpr sama masyarakat kok bs ada tunjangan komunikasi harus dihapuskan,0,2025-09-08T01:53:48Z
@dumasari8238,sama aja bohongdemo yg sia siananti ada demo jilid baru tau rasa,0,2025-09-08T01:50:47Z
@AkangMaman-u1c,bubarkan sajaapa sih manfaatnya bagi rakyat,0,2025-09-08T01:48:02Z
@maniftifada9785,setelah dipangkas ko msh besar ya yg didapat bln gaji dpr thn gaji guru,0,2025-09-08T01:47:09Z
@ImanArifin-u7i1w,banyakan tunjangan lapangan kerja yg di buat bukan tunjangan sini biar ku tunjang,0,2025-09-08T01:26:37Z
@andyhuis6715,dana aspirasi jt sebanyak x dlm setahun dan dana kunjungan dapil jt sebanyak x dlm setahun blm disebutkan atw sdh dihapuskan ya,0,2025-09-08T01:18:30Z
@DoniRealme-j4j,ujung sama jugadi buang tunjangan itu ada lagi tunjangan yg lainsama juga bohong dong jadinyamau mengelabui rakyat tu,0,2025-09-08T01:12:12Z
@ImamMahfudzAssaidin,bubarkan sajalahbukan makin baik malah menghambat,0,2025-09-08T01:10:11Z
@fiyajannatcom,gaji pensiun tetap dapatenak periode dapat pensiunan seumur hidup,0,2025-09-08T01:01:07Z
@restubumi7217,tunjangan dipangkas tp tetep aja jadi maling,0,2025-09-08T01:00:54Z
@ImamMahfudzAssaidin,kakean tunjanganobah ae tunjanganobah ae kok tunjangan huch parah parah,0,2025-09-08T01:00:39Z
@NasriZein-m5l,tidak ada yg benar sudah negri konoha ini hancooorhancur sdh,0,2025-09-08T01:00:30Z
@arjuna-bg4tq,hapus lagi tunjangan nya,0,2025-09-08T00:57:10Z
@singgihjuniardi4605,rakyat harus membiayai agota dpr yang tidak ada manfaat malah menjadi beban negara di perpajakan,0,2025-09-08T00:54:15Z
@fiyajannatcom,gaji pensiun tetap dapatenak periode dapat pensiunan seumur hidup,0,2025-09-08T00:49:39Z
@Lily-2227,masih ada itu,0,2025-09-08T00:44:31Z
@SitiCholifah-q4q,udah dpt gajiada tunjangan beras dlltunjangan trasi tunjangan garam cabeminyak goreng bawangsabunpembalut dan masih byk lagi,0,2025-09-08T00:28:21Z
@surotooto7839,iya laaah agar motivasi pengabdian kpd negara dan rakyat jd latar belakang mnjd wakil rakyat,0,2025-09-08T00:18:18Z
@rickosuryapranata8141,harusnya dibatasi max gajinya juta aja ini sampai jt an beneran kesenjangan sosial yang sangat besar,0,2025-09-08T00:10:48Z
@mochtopan7630,mending gaji dpr disamakan sama pegawai biasa pasti pada males ngelamar kerja di dpr,0,2025-09-08T00:03:40Z
@sugisugi3243,kalau gaji dpr juta itu sangat tidak mungkin pasti banyak yg mengundurkan diri dana aspirasi mereka saja sdh ratusan juta dan itu di dapat setahun beberapa kali tetap tdk ada transparasi,0,2025-09-08T00:03:15Z
@nikoandreas5375,masih ketinggian banyak tunjangan yg tumpang tindih ada tunjangan fungsi pengawasan masih ada lagi bawahnya honorarium pengawasan pinter amat yak cari istilah buat banyakin anggaran yg ga perlu,0,2025-09-07T23:44:27Z
@NyomanSuryasa,anggaran masih di luar nalar komunikasi apa dengan paket internet berapa gbps dan telp berapa banyak sampai harus bayar biaya komunikasi per bulan jt di tambah bukannya dpr sebagai badan dan memang topoksinua buat pengawasan legislasi pengawasan anggaran dsb kenapa di anggap sebagai honorarium bukannya memang tanggung jawab dpr yg merupakan gaji pokoknya ga masuk akal sebesar jt dan hal yang sama di tunjangan konstitusional yg nilainya fantastis jt yg memang merupakan tugas dan tanggung jawabnya dan seharusnya sudah masuk didalam gaji pokok,0,2025-09-07T23:41:26Z
@SupriAdi-wo5ow,di pikir uang negara hbs di buat gaji dpr ya yg seharusnya gaji tinggi itu para guru yg mendidik anak bangsa menjadu suses,0,2025-09-07T23:32:19Z
@KetutnadaNada,tunjangan berak dan kentut perbulan berapa ya,0,2025-09-07T23:28:02Z
@EriRatnawai,kerja hrs maksimal sesuai dgn gajinya yg diterimanyamasyarakat hrs tahu ginerja dpr hingga dlm pengawasan rakyatnya,0,2025-09-07T23:20:55Z
@EriRatnawai,segitu bagi rakyat kecil mah msh gedemsh patut disyukuribegitu byk tunjangannya,0,2025-09-07T23:18:26Z
@AjarPitur-um1kz,nina bobo janji demo dari tujuan awal bubar dpr kumpula artis pengusaha dan para mafia yg dimenejeri puan maharani dan direktur diluar sangkar senayan tontonan politik tingkat tinggi siapa yg tergelincir,0,2025-09-07T23:11:43Z
@hendrikbaf9790,masih kegedean iitu juta aja total nya itu baru pas,0,2025-09-07T22:52:33Z
@AriefLatief-q8l,inilah sejatinya beban negara,0,2025-09-07T22:34:06Z
@bilymakapele993,msh bnyak itu,0,2025-09-07T22:30:45Z
@AriesBudiArdianto,maks tuh jt la,0,2025-09-07T22:28:08Z
@MuhammadThaibMunadi,katanya sahroni dnonaktifkan kok msh ada,0,2025-09-07T21:58:23Z
@saniechannel2827,gak ada gunanyakerja gak ada yg becusorg y kalangan artis semua ngapain dpr masih adakenapa gak di bubarkan saja,0,2025-09-07T21:54:46Z
@IbuEsih-t7n5q,pantesan keuangan negara pemerintah dihabiskan oleh dpr pantesan rakyat sngsara sampe bnyk yg bunuh diri krn putus asa menghadapi kesengsaraan hidup dlm kesempitan ekonomi astaghfirulloh,0,2025-09-07T21:30:21Z
@Hilda367,umr umr umr,0,2025-09-07T21:05:12Z
@arjunapetot9257,masih sama ajah masih mending tunjangan dll di kasih ke yg gak mampu atau ke masyarakat yg layak dapat,0,2025-09-07T20:15:21Z
@jeckylatul2835,terlalu banyak itusetara kadis cuman jutaan juta sudah cukup membebani negara saja mereka ini tak kerja jugacuma tidur doang,0,2025-09-07T20:14:51Z
@ruiki1y,sepertinya memang minta di demo lagi nih,0,2025-09-07T20:03:04Z
@KenzoRaffasya-v4l3t,gak perlu yg penting ruu perampasan aset koruptor itu aja,0,2025-09-07T19:38:38Z
